Exporting, importing,Mean
United States, Central America, 6000
United States, South America,3400
United States, Europe,570000
United States, Europe, non EU,3700
United States, Asia,260400
United States, East Asia,146300
United States, South Asia,19300
United States, Middle East,94700
United States, Central Asia,200
United States, Africa,7000
United States, North Africa,6100
United States, West Africa,200
United States, Central Africa,200
United States, East Africa,400
United States, Southern Africa,200
United States, Oceania,18000