Exporting,importing,latitude,longitude
United States,Costa Rica,39.71735,-4.64402
United States, Honduras,15.199999,-86.241905,100
United States, Mexico, 23.634501,-102.552788,5600
United States, Panama,8.537981,-80.782127,100
United States, Argentina,-38.416096,-63.616673,300
United States, Brazil,-14.235004,-51.925282,900
United States, Chile, -35.675148,-71.542969,600
United States, Colombia,4.570868,-74.297333,1300
United States, Ecuador,-1.831239,-78.183403,100
United States, Peru,-9.189967,-75.015152,200
United States, Austria,47.516232,14.550072,100
United States, Belgium,50.503887,4.469936,1100
United States, Croatia,45.099998,15.200000,100
United States, Czech Republic,49.817493,15.472962,100
United States, Denmark,56.263920,9.501785,1500
United States, Estonia,58.595272,25.013607,100
United States, Finland,61.924110,25.748152,700
United States, France, 46.227638,2.213749,2300
United States, Germany,51.165691,10.451526,3400
United States, Greece,39.074207,39.074207,1900
United States, Hungary,47.162495,19.503304,100
United States, Ireland,53.412910,-8.243890,400
United States, Italy,41.871941,12.567380,9700
United States, Latvia,56.879635,24.603189,100
United States, Lithuania,55.169437,23.881275,100
United States, Luxembourg,49.815273,6.129583,100
United States, Netherlands,52.373169,4.890660,3100
United States, Poland,51.919437,19.145136,2000
United States, Portugal,39.399872,-8.224454,600
United States, Romania,45.943161,24.966761,500
United States, Spain,40.463669,-3.749220,1500
United States, Sweden,60.128162,18.643501,2800
United States, United Kingdom,55.378052,-3.435973,21000

United States, Georgia,32.165623,-82.900078,100
United States, Norway,60.472023,8.468946,2100
United States, Russia,61.524010,105.318756,200
United States, Switzerland,46.818188,8.227512,600
United States, Ukraine,48.379433,31.165581,700


United States, Brunei,4.535277,114.727669,200
United States, China,35.861660,104.195396,200
United States, Indonesia,-0.789275,113.921326,1400
United States, Japan,36.204823,138.252930,83200
United States, South Korea,35.907757,127.766922,44300
United States, Malaysia,4.210484,101.975769,700
United States, Phillippines,12.879721,121.774017,1600
United States, Singapore,1.352083,103.819839,7500
United States, Taiwan,23.697809,120.960518,5900
United States, Thailand,15.870032,100.992538,1100

United States, Afghanistan,33.939110,67.709953,9400
United States, Bangladesh,23.684994,90.356331,100
United States, India,22.3511148,78.6677428,8600
United States, Pakistan,30.3308401,71.247499,1200

United States, Bahrain,26.1551249,50.5344606,700
United States, Iraq,33.0955793,44.1749775,10400
United States, Israel,30.8124247,34.8594762,11600
United States, Jordan,31.1667049,36.941628,1600
United States, Kuwait,29.2733964,47.4979476,3000
United States, Lebanon,33.8750629,35.843409,300
United States, Oman,21.0000287,57.0036901,1300
United States, Saudi Arabia,25.6242618,42.3528328,39900
United States, Turkey,38.9597594,34.9249653,8000
United States, United Arab Emirates,24.0002488,53.9994829,15500

United States, Azerbaijan,40.3936294,47.7872508,100
United States, Kazakhstan,48.1012954,66.7780818,100

United States, Algeria,28.0000272,2.9999825,1200
United States, Egypt,26.2540493,29.2675469,3100
United States, Libya,26.8234472,18.1236723,100
United States, Morocco,31.1728205,-7.3362482,1000
United States, Tunisia,33.8439408,9.400138,800

United States, Niger,17.7356214,9.3238432,100
United States, Nigeria,9.6000359,7.9999721,100

United States, Cameroon,4.6125522,13.1535811,100
United States, Chad,15.6134137,19.0156172,100

United States, Djibouti,11.8145966,42.8453061, 200
United States, Kenya,1.4419683,38.4313975,200
United States, South Africa,-28.8166236,24.991639,100

United States, Australia, -24.7761086,134.755,17400
United States, New Zealand,-41.5000831,172.8344077,600