Year,UK Annual CO2 emissions (per capita),US Annual CO2 emissions (per capita)
1800,2.4775,0.0421
1801,2.4581,0.0437
1802,2.4445,0.0465
1803,2.7194,0.0468
1804,2.7027,0.0515
1805,2.7736,0.0517
1806,2.8999,0.0496
1807,2.8695,0.0551
1808,2.8398,0.0562
1809,2.8103,0.0567
1810,2.701,0.0572
1811,2.7727,0.0596
1812,2.7424,0.0626
1813,2.6204,0.0652
1814,2.5214,0.068
1815,2.4331,0.0706
1816,2.4459,0.0755
1817,2.3367,0.0791
1818,2.2117,0.0833
1819,2.1248,0.0788
1820,2.0538,0.0794
1821,2.0096,0.0806
1822,2.0429,0.0818
1823,2.1235,0.0829
1824,2.1953,0.0907
1825,2.1899,0.0987
1826,2.1861,0.1111
1827,2.2481,0.1189
1828,2.2347,0.1273
1829,2.2388,0.1394
1830,2.8153,0.1577
1831,2.6977,0.1663
1832,2.6617,0.2159
1833,2.6308,0.2451
1834,2.6057,0.2286
1835,2.5683,0.2838
1836,2.9777,0.3026
1837,2.8442,0.3301
1838,2.893,0.3045
1839,2.943,0.3247
1840,3.0427,0.3359
1841,3.0603,0.3452
1842,3.1817,0.373
1843,3.3151,0.4062
1844,3.4724,0.4725
1845,3.7084,0.552
1846,3.5434,0.6076
1847,3.8281,0.699
1848,4.0337,0.7554
1849,4.271,0.7957
1850,4.4985,0.8387
1851,4.2612,1.0123
1852,4.2234,1.0677
1853,4.174,1.1658
1854,4.9986,1.243
1855,4.6516,1.3873
1856,4.9747,1.4116
1857,4.8553,1.4038
1858,4.729,1.3811
1859,5.2154,1.4596
1860,5.7976,1.4858
1861,5.9969,1.3932
1862,5.7593,1.411
1863,6.0731,1.5913
1864,6.4791,1.6625
1865,6.808,1.6276
1866,6.9556,1.6001
1867,7.0807,1.9217
1868,6.8867,2.1203
1869,7.1623,2.3555
1870,7.2496,2.4213
1871,7.6079,2.4705
1872,7.9382,2.9589
1873,8.1579,3.1931
1874,7.8495,3.0033
1875,8.2042,2.9661
1876,8.1093,2.8355
1877,8.1739,3.0698
1878,7.9488,2.9327
1879,7.9219,3.4939
1880,8.5544,3.8652
1881,8.9128,3.9951
1882,8.9129,4.3712
1883,9.1995,4.6061
1884,8.8851,4.7431
1885,8.7084,4.7132
1886,8.5599,4.8637
1887,8.7088,5.0811
1888,8.9817,6.0381
1889,9.2239,5.2986
1890,9.3564,6.2081
1891,9.469,6.4683
1892,9.1879,6.6809
1893,8.1525,6.6057
1894,9.2476,6.0645
1895,9.2476,6.7163
1896,9.4217,6.6002
1897,9.5808,6.7347
1898,9.5127,7.2
1899,10.0982,8.0994
1900,10.1306,8.4143
1901,9.8224,8.9814
1902,10.1122,9.3288
1903,10.1013,10.6978
1904,10.0587,10.3411
1905,10.1008,11.3363
1906,10.3701,11.6635
1907,10.7368,13.2916
1908,10.381,11.3937
1909,10.3907,12.379
1910,10.3986,13.2645
1911,10.5909,12.911
1912,9.9786,13.5663
1913,10.8607,14.3525
1914,10.4856,12.9212
1915,10.5768,13.2123
1916,10.91,14.459
1917,10.7368,15.673
1918,9.96,16.1623
1919,9.7032,13.4852
1920,9.9975,15.6217
1921,6.789,12.6114
1922,9.0979,12.5353
1923,9.6845,16.3202
1924,10.1544,14.4013
1925,9.6126,14.6923
1926,5.2777,15.6973
1927,10.0189,15.1192
1928,9.4137,14.6453
1929,9.9156,15.5022
1930,9.4863,13.6188
1931,8.8462,11.4747
1932,8.4655,9.6374
1933,8.3434,10.2631
1934,8.9589,10.8515
1935,9.0384,11.1966
1936,9.5106,12.7656
1937,9.762,13.2625
1938,9.3149,11.1359
1939,9.3431,12.1734
1940,9.767,13.5274
1941,9.6124,14.5805
1942,9.5578,15.4896
1943,9.2351,15.7903
1944,8.9406,16.7588
1945,8.4145,15.9519
1946,8.7534,15.0525
1947,9.2223,16.3479
1948,9.4714,16.751
1949,9.6232,13.8397
1950,9.8939,16.0031
1951,10.7753,16.2774
1952,10.4382,15.6253
1953,10.6443,15.7485
1954,10.8666,14.7527
1955,11.2986,15.8916
1956,11.2028,16.3694
1957,11.0828,15.9526
1958,10.7491,15.1942
1959,10.5024,15.4078
1960,11.1517,15.5159
1961,11.1633,15.2276
1962,11.1643,15.5668
1963,11.2781,16.0378
1964,11.2813,16.5348
1965,11.4694,17.0194
1966,11.3265,17.6884
1967,10.7909,18.1715
1968,11.0005,18.6618
1969,11.3492,19.4305
1970,11.7426,20.7121
1971,11.8458,20.6508
1972,11.5942,21.4413
1973,11.7768,22.2365
1974,11.003,21.2828
1975,10.743,20.4401
1976,10.6521,21.4738
1977,10.7531,21.9122
1978,10.7589,21.9389
1979,11.4672,22.0303
1980,10.3014,20.9533
1981,9.9706,20.2308
1982,9.748,19.0191
1983,9.6929,18.7653
1984,9.3925,19.5668
1985,9.9201,19.3446
1986,10.0589,19.2087
1987,10.0897,19.6915
1988,10.0381,20.4157
1989,10.2077,20.5502
1990,10.5076,20.2818
1991,10.62,19.8709
1992,10.3207,20.1077
1993,10.0454,20.2955
1994,9.9482,20.4347
1995,9.7798,20.4459
1996,10.1213,20.9089
1997,9.6443,20.9282
1998,9.7009,20.8269
1999,9.5563,20.839
2000,9.6326,21.3357
2001,9.7475,20.7474
2002,9.4404,20.7003
2003,9.5947,20.7437
2004,9.5687,20.913
2005,9.454,20.7954
2006,9.3318,20.324
2007,9.0999,20.3953
2008,8.7617,19.4872
2009,7.861,17.8847
2010,8.0623,18.3676
2011,7.3327,17.7807
2012,7.5554,16.9998
2013,7.3462,17.3017
2014,6.7032,17.3306
2015,6.4127,16.7408
2016,6.0234,16.2469
2017,5.8082,16.0197
2018,5.6878,16.434
2019,5.4644,15.972
2020,4.8549,14.2379